id,multiplier,recorded_at
6372,4.6300,2026-05-22 13:21:45.704388+00
6373,2.1200,2026-05-22 13:22:10.720118+00
6374,1.2400,2026-05-22 13:22:27.214043+00
6375,1.2400,2026-05-22 13:22:43.849962+00
6376,3.8800,2026-05-22 13:23:17.213078+00
6377,1.0200,2026-05-22 13:23:25.451165+00
6378,6.9700,2026-05-22 13:24:06.93237+00
6379,7.9000,2026-05-22 13:24:48.122204+00
6380,23.7500,2026-05-22 13:25:37.679452+00
6381,3.0400,2026-05-22 13:26:02.565543+00
6382,1.4400,2026-05-22 13:26:19.19767+00
6383,1.1100,2026-05-22 13:26:35.939329+00
6384,21.0600,2026-05-22 13:27:25.207976+00
6385,1.1100,2026-05-22 13:27:41.873008+00
6386,155.3000,2026-05-22 13:28:56.017988+00
6387,124.8100,2026-05-22 13:30:10.388088+00
6388,2.7600,2026-05-22 13:30:35.407383+00
6389,37.1600,2026-05-22 13:31:33.989667+00
6390,10.1000,2026-05-22 13:32:15.613531+00
6391,1.0400,2026-05-22 13:32:32.343708+00
6392,1.1000,2026-05-22 13:32:49.085636+00
6393,2.2300,2026-05-22 13:33:05.663961+00
6394,1.6200,2026-05-22 13:33:30.543884+00
6395,10.0700,2026-05-22 13:34:12.0297+00
6396,1.0700,2026-05-22 13:34:28.709656+00
6397,6.6400,2026-05-22 13:35:01.810645+00
6398,4.6700,2026-05-22 13:35:35.228653+00
6399,1.6200,2026-05-22 13:35:51.828374+00
6400,6.3400,2026-05-22 13:36:33.455267+00
6401,6.8300,2026-05-22 13:37:06.9258+00
6402,1.5000,2026-05-22 13:37:23.70071+00
6403,2.5100,2026-05-22 13:37:48.73607+00
6404,1.1700,2026-05-22 13:38:05.437267+00
6405,1.2100,2026-05-22 13:38:22.037037+00
6406,4.3400,2026-05-22 13:38:55.379981+00
6407,7.2300,2026-05-22 13:39:28.870921+00
6408,1.0100,2026-05-22 13:39:45.516248+00
6409,3.0100,2026-05-22 13:40:10.548162+00
6410,7.1200,2026-05-22 13:40:43.462554+00
6411,176.6600,2026-05-22 13:42:06.441009+00
6412,93.3000,2026-05-22 13:43:12.537034+00
6413,11.8500,2026-05-22 13:44:02.508017+00
6414,1.6900,2026-05-22 13:44:19.192603+00
6415,2.6600,2026-05-22 13:44:44.112123+00
6416,1.4500,2026-05-22 13:45:00.64195+00
6417,1.3600,2026-05-22 13:45:17.102339+00
6418,1.2900,2026-05-22 13:45:33.715194+00
6419,2.5100,2026-05-22 13:45:58.512385+00
6420,196.9600,2026-05-22 13:47:21.380074+00
6421,2.9000,2026-05-22 13:47:46.326029+00
6422,4.9000,2026-05-22 13:48:19.498514+00
6423,11.7900,2026-05-22 13:49:00.680657+00
6424,1.2000,2026-05-22 13:49:17.497748+00
6425,1.6200,2026-05-22 13:49:34.328012+00
6426,2.4800,2026-05-22 13:49:59.323066+00
6427,1.1500,2026-05-22 13:50:15.930999+00
6428,1.2800,2026-05-22 13:50:32.507924+00
6429,1.5200,2026-05-22 13:50:49.190923+00
